source,label,output,kind,rotation_deg,brightness,contrast,saturation,blur,flip
datasets\khaleeji\images\Elegant chandelier majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Elegant chandelier majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Elegant chandelier majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Elegant chandelier majles_aug1.jpg,aug,1.115,0.944,0.979,0.975,False,False
datasets\khaleeji\images\Elegant chandelier majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Elegant chandelier majles_aug2.jpg,aug,1.414,1.065,0.952,0.996,True,False
datasets\khaleeji\images\Four-poster minimal bedroom.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Four-poster minimal bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Four-poster minimal bedroom.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Four-poster minimal bedroom_aug1.jpg,aug,-2.251,1.011,0.944,0.972,False,False
datasets\khaleeji\images\Four-poster minimal bedroom.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Four-poster minimal bedroom_aug2.jpg,aug,0.36,0.971,1.022,1.039,True,False
datasets\khaleeji\images\Grand red majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Grand red majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Grand red majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Grand red majles_aug1.jpg,aug,2.447,1.038,0.988,0.967,False,False
datasets\khaleeji\images\Grand red majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Grand red majles_aug2.jpg,aug,-1.307,0.953,0.954,1.043,False,False
datasets\khaleeji\images\Heritage beamed bedroom.webp,khaleeji,data\processed\classification\augmented\khaleeji\Heritage beamed bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Heritage beamed bedroom.webp,khaleeji,data\processed\classification\augmented\khaleeji\Heritage beamed bedroom_aug1.jpg,aug,2.457,1.042,1.015,1.057,False,False
datasets\khaleeji\images\Heritage beamed bedroom.webp,khaleeji,data\processed\classification\augmented\khaleeji\Heritage beamed bedroom_aug2.jpg,aug,0.416,1.056,1.027,1.045,False,False
datasets\khaleeji\images\Modern neutral bedroom.webp,khaleeji,data\processed\classification\augmented\khaleeji\Modern neutral bedroom_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Modern neutral bedroom.webp,khaleeji,data\processed\classification\augmented\khaleeji\Modern neutral bedroom_aug1.jpg,aug,1.637,0.946,0.972,0.982,True,False
datasets\khaleeji\images\Modern neutral bedroom.webp,khaleeji,data\processed\classification\augmented\khaleeji\Modern neutral bedroom_aug2.jpg,aug,-2.138,0.954,0.979,1.02,False,False
datasets\khaleeji\images\Neutral corner majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Neutral corner majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Neutral corner majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Neutral corner majles_aug1.jpg,aug,-1.039,0.969,0.977,1.053,False,False
datasets\khaleeji\images\Neutral corner majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Neutral corner majles_aug2.jpg,aug,0.873,0.964,1.042,0.968,False,False
datasets\khaleeji\images\Ornate arched majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Ornate arched majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Ornate arched majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Ornate arched majles_aug1.jpg,aug,3.916,1.03,1.018,1.025,False,False
datasets\khaleeji\images\Ornate arched majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Ornate arched majles_aug2.jpg,aug,2.208,0.972,0.944,0.985,False,False
datasets\khaleeji\images\Patterned-rug seating majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Patterned-rug seating majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Patterned-rug seating majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Patterned-rug seating majles_aug1.jpg,aug,-2.312,1.072,1.063,0.985,False,False
datasets\khaleeji\images\Patterned-rug seating majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Patterned-rug seating majles_aug2.jpg,aug,-0.835,1.068,1.004,0.979,False,False
datasets\khaleeji\images\Plated-wall majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Plated-wall majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Plated-wall majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Plated-wall majles_aug1.jpg,aug,0.491,0.977,1.022,1.049,False,False
datasets\khaleeji\images\Plated-wall majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Plated-wall majles_aug2.jpg,aug,-2.245,1.08,1.011,0.96,True,False
datasets\khaleeji\images\Red-carpet floor majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Red-carpet floor majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Red-carpet floor majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Red-carpet floor majles_aug1.jpg,aug,-3.123,1.028,1.051,0.996,True,False
datasets\khaleeji\images\Red-carpet floor majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Red-carpet floor majles_aug2.jpg,aug,-0.947,1.079,1.014,1.057,False,False
datasets\khaleeji\images\Round-rug minimal majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Round-rug minimal majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Round-rug minimal majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Round-rug minimal majles_aug1.jpg,aug,-3.908,1.041,1.035,1.009,False,False
datasets\khaleeji\images\Round-rug minimal majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Round-rug minimal majles_aug2.jpg,aug,1.128,0.956,1.001,1.0,False,False
datasets\khaleeji\images\Spacious formal majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Spacious formal majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Spacious formal majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Spacious formal majles_aug1.jpg,aug,3.007,0.977,1.01,0.97,False,False
datasets\khaleeji\images\Spacious formal majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Spacious formal majles_aug2.jpg,aug,2.964,0.982,1.029,1.017,False,False
datasets\khaleeji\images\Traditional beamed majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Traditional beamed majles_base.jpg,base,0.0,1.0,1.0,1.0,False,False
datasets\khaleeji\images\Traditional beamed majles.jpg,khaleeji,data\processed\classification\augmented\khaleeji\Traditional beamed majles_aug1.jpg,aug,2.1,1.016,1.049,1.008,True,False
