path,label,split
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Warm modern bedroom_979a0bfb.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Spacious formal majles_7c92037c.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Neutral corner majles_ba30a7b1.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Grand red majles_e8d53357.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Red-carpet floor majles_54b943e2.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Heritage beamed bedroom_25120923.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Modern neutral bedroom_97aa795b.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Elegant chandelier majles_dad6395e.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Four-poster minimal bedroom_034eecc4.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\khaleeji\Round-rug minimal majles_3c640230.jpg,khaleeji,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Wrought-iron bed bedroom_248892b4.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Traditional pantry kitchen_01b2747a.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Red majlis seating_d21a6437.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Traditional banquette salon_3a97b20b.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Stone arch salon_0556a35a.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Twin red bedroom_38a164a7.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Patterned-tile floor kitchen_03760de1.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Mountain-view arched salon_2afc4f03.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Elegant draped bedroom_4f5f8b37.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Modern wood kitchen_9540a58e.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Eclectic plated salon_3dbf9e30.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Cozy vaulted bedroom_0b373216.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\lebanese\Display-cabinet stone kitchen_0fb4dde4.jpg,lebanese,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Arched alcove headboard bedroom_ef5c9948.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Ornate plated salon_c5751fd9.jpg,moroccan,train
C:\Users\USER\Desktop\dardesign-app\data\processed\classification\cleaned\moroccan\Colorful lantern bedroom_d01e8429.jpg,moroccan,train
